DOSRIOS;2018/0/16;20:37;0.0;0.09;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:36;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:37;0.0;0.42;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:37;0.0;0.0;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:38;0.0;0.02;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:38;0.0;0.0;-9.999;20000;0;0.0
COAPA;2018/0/16;20:38;0.0;0.0;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:38;0.0;0.0;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:38;0.0;0.09;-9.999;20000;0;0.0
CCHOTE;2018/0/16;20:38;0.0;0.09;-9.999;20000;1516156680;0.0
CUAJIMALPA;2018/0/16;20:38;0.0;0.11;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:37;0.0;0.48;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:37;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:38;0.0;0.42;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:38;0.0;0.48;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:39;0.0;0.0;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:39;0.0;0.02;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:39;0.0;0.0;-9.999;20000;0;0.0
COAPA;2018/0/16;20:39;0.0;0.0;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:39;0.0;0.09;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:38;0.0;0.0;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:39;0.0;0.11;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:38;0.0;0.04;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:40;0.0;0.02;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:40;0.0;0.09;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:40;0.0;0.0;-9.999;20000;0;0.0
CCHOTE;2018/0/16;20:40;0.0;0.0;-9.999;20000;1516156800;0.0
BOSQUEREAL;2018/0/16;20:40;0.0;0.0;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:39;0.0;0.0;-9.999;20000;0;0.0
COAPA;2018/0/16;20:40;0.0;0.0;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:39;0.0;0.48;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:40;0.0;0.11;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:39;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:41;0.0;0.42;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:41;0.0;0.48;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:42;0.0;0.0;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:42;0.0;0.02;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:41;0.0;0.0;-9.999;20000;0;0.0
COAPA;2018/0/16;20:42;0.0;0.0;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:42;0.0;0.0;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:42;0.0;0.09;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:42;0.0;0.11;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:41;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:42;0.0;0.42;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:43;0.0;0.02;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:42;0.0;0.48;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:42;0.0;0.0;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:43;0.0;0.0;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:43;0.0;0.09;-9.999;20000;0;0.0
COAPA;2018/0/16;20:43;0.0;0.0;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:43;0.0;0.11;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:43;0.0;0.0;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:42;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:43;0.0;0.42;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:43;0.0;0.48;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:44;0.0;0.02;-9.999;20000;0;0.0
CCHOTE;2018/0/16;20:44;0.0;0.02;-9.999;20000;1516157040;0.0
CCHVALLEJO;2018/0/16;20:43;0.0;0.0;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:44;0.0;0.0;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:44;0.0;0.09;-9.999;20000;0;0.0
COAPA;2018/0/16;20:44;0.0;0.0;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:44;0.0;0.11;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:44;0.0;0.0;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:43;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:44;0.0;0.42;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:44;0.0;0.0;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:45;0.0;0.02;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:45;0.0;0.0;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:44;0.0;0.48;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:45;0.0;0.11;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:45;0.0;0.09;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:44;0.0;0.04;-9.999;20000;0;0.0
COAPA;2018/0/16;20:45;0.0;0.0;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:45;0.0;0.42;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:45;0.0;0.48;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:46;0.0;0.0;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:46;0.0;0.02;-9.999;20000;0;0.0
COAPA;2018/0/16;20:46;0.0;0.0;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:46;0.0;0.0;-9.999;20000;0;0.0
CCHOTE;2018/0/16;20:46;0.0;0.0;-9.999;20000;1516157160;0.0
CCHVALLEJO;2018/0/16;20:45;0.0;0.0;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:46;0.0;0.11;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:46;0.0;0.09;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:45;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:46;0.0;0.42;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:46;0.0;0.48;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:47;0.0;0.02;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:47;0.0;0.0;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:46;0.0;0.0;-9.999;20000;0;0.0
CCHOTE;2018/0/16;20:46;0.0;0.0;-9.999;20000;1516153620;0.0
COAPA;2018/0/16;20:47;0.0;0.0;-9.999;20000;0;0.0
CUAJIMALPA;2018/0/16;20:47;0.0;0.11;-9.999;20000;0;0.0
DOSRIOS;2018/0/16;20:47;0.0;0.09;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:47;0.0;0.0;-9.999;20000;0;0.0
PREPA4;2018/0/16;20:46;0.0;0.04;-9.999;20000;0;0.0
IIUNAM;2018/0/16;20:47;0.0;0.42;-9.999;20000;0;0.0
BOSQUEREAL;2018/0/16;20:48;0.0;0.0;-9.999;20000;0;0.0
VHERMOSA;2018/0/16;20:48;0.0;0.02;-9.999;20000;0;0.0
CCHVALLEJO;2018/0/16;20:47;0.0;0.0;-9.999;20000;0;0.0
TLALNE;2018/0/16;20:48;0.0;0.0;-9.999;20000;0;0.0
COAPA;2018/0/16;20:48;0.0;0.0;-9.999;20000;0;0.0
SACMEX;2018/0/16;20:47;0.0;0.48;-9.999;20000;0;0.0
